,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,53,ZA,1556912739,59,-34.53,20.04,62.6,6.93
1,Yulara,0,AU,1556910000,57,-25.24,130.99,50.0,8.05
2,Mar del Plata,77,AR,1556912942,44,-46.43,-67.52,45.41,10.2
3,Merrill,1,US,1556912886,25,42.03,-121.6,69.01,5.82
4,Ponta do Sol,100,BR,1556912942,90,-20.63,-46.0,69.17,2.55
5,Melfort,90,CA,1556910000,86,52.87,-104.61,37.4,8.05
6,Nikolskoye,90,RU,1556912838,59,59.7,30.79,37.99,8.95
7,Ushuaia,75,AR,1556910000,56,-54.81,-68.31,41.0,5.82
8,Hermanus,95,ZA,1556912759,76,-34.42,19.24,59.0,1.01
9,Bandarbeyla,0,SO,1556912943,75,9.49,50.81,79.61,6.2
10,Cadiz,90,US,1556912917,64,40.27,-81.0,73.0,3.36
11,Jamestown,7,AU,1556912944,95,-33.21,138.6,49.91,1.05
12,Pevek,0,RU,1556912944,83,69.7,170.27,26.51,0.85
13,Albany,90,US,1556912925,72,42.65,-73.75,66.99,14.99
14,Busselton,11,AU,1556912878,73,-33.64,115.35,64.99,5.01
15,Toamasina,40,MG,1556910000,94,-18.17,49.38,73.4,5.82
16,Ilulissat,75,GL,1556909400,37,69.22,-51.1,51.8,11.41
17,Bambous Virieux,40,MU,1556912940,69,-20.34,57.76,77.0,10.29
18,Hearst,66,CA,1556912946,54,49.69,-83.67,45.59,7.87
19,Bayevo,0,RU,1556912946,43,53.27,80.77,40.55,3.76
20,Port Elizabeth,90,US,1556912913,68,39.31,-74.98,73.99,4.7
21,Viedma,0,AR,1556912947,49,-40.81,-62.99,54.05,4.97
22,Floro,40,NO,1556909400,56,61.6,5.03,41.0,13.87
23,Saint-Philippe,90,CA,1556912909,93,45.36,-73.48,53.01,12.75
24,Marsabit,34,KE,1556912948,52,2.34,37.99,85.91,15.01
25,Komsomolskiy,100,RU,1556912948,91,67.55,63.78,30.11,12.53
26,Cape Town,75,ZA,1556912767,77,-33.93,18.42,61.0,4.7
27,Mayenne,67,FR,1556912596,71,48.3,-0.62,51.8,6.93
28,Hamilton,20,BM,1556911817,64,32.3,-64.78,77.0,9.17
29,Castro,90,CL,1556910000,93,-42.48,-73.76,53.6,4.7
30,Ahipara,0,NZ,1556912718,100,-35.17,173.16,50.0,9.35
31,Wajima,0,JP,1556912949,64,37.4,136.9,57.29,10.42
32,Butaritari,96,KI,1556912950,78,3.07,172.79,83.21,13.82
33,Saskylakh,0,RU,1556912950,91,71.97,114.09,3.11,4.56
34,Tuktoyaktuk,20,CA,1556910000,78,69.44,-133.03,15.8,12.75
35,Mataura,100,NZ,1556911808,77,-46.19,168.86,55.0,3.0
36,Chake Chake,1,TZ,1556912950,76,-5.25,39.77,83.21,13.6
37,Batagay,0,RU,1556912951,64,67.65,134.64,29.75,3.71
38,Cabo San Lucas,40,MX,1556912712,34,22.89,-109.91,88.0,11.41
39,Vaini,100,IN,1556912951,85,15.34,74.49,73.49,2.62
40,Victoria,75,BN,1556910000,88,5.28,115.24,77.0,3.36
41,Pekan,75,MY,1556910000,94,3.49,103.39,78.8,2.24
42,Puerto Ayora,20,EC,1556912836,66,-0.74,-90.35,87.8,13.87
43,Chernyshevskiy,0,RU,1556912952,90,63.01,112.47,23.99,8.34
44,Minuri,27,PH,1556912952,95,16.54,121.86,71.51,1.48
45,Erenhot,30,CN,1556912952,44,43.65,111.97,61.61,17.11
46,Hokitika,50,NZ,1556912953,75,-42.72,170.96,57.29,9.28
47,Nizhniy Kuranakh,96,RU,1556912953,86,58.84,125.49,25.79,7.83
48,Maumere,1,ID,1556912953,79,-8.63,122.22,80.69,4.14
49,Kaitangata,96,NZ,1556912953,67,-46.28,169.85,52.79,5.93
50,Bethel,90,US,1556909760,80,60.79,-161.76,41.0,13.87
51,Half Moon Bay,40,US,1556912910,52,37.46,-122.43,75.99,14.99
52,Port Hedland,0,AU,1556910000,77,-20.31,118.58,68.0,8.05
53,Yellowknife,20,CA,1556912885,42,62.45,-114.38,28.99,11.41
54,Kruisfontein,76,ZA,1556912954,82,-34.0,24.73,54.59,7.63
55,Maryborough,100,AU,1556912955,95,-25.54,152.7,67.73,1.66
56,Roald,20,NO,1556912816,64,62.58,6.12,39.2,12.75
